#;Org.;Serie;Test;Nr.;Version;Messfühler;PEAK;PEACOCK;Median_EXP;Median_SIM
1;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_205;-0.03;0.11;194.66;178.44
2;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_192_5;0.04;0.08;177.05;176.87
3;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_180;0.04;0.09;172.48;168.06
4;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_167_5;0.04;0.11;165.83;157.29
5;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_155;0.03;0.13;154.59;140.49
6;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_142_5;0.03;0.12;143.18;137.48
7;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_130;0.1;0.2;123.85;128.85
8;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_117_5;0.43;0.4;90.13;121.06
9;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_105;0.72;0.5;72.73;107.07
10;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_092_5;0.28;0.14;72.35;72.72
11;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_080;0.13;0.11;68.73;69.37
12;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_055;0.09;0.13;62.86;68.05
13;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_030;0.2;0.19;55.17;65.09
14;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_005;0.57;0.4;39.89;56.95
15;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_00025;0.64;0.33;38.72;53.03
16;IRSN;PRISME;DOOR;3;FDS607;TG_L1_L2_S105;0.68;0.33;72.87;89.98
17;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_350;-0.16;0.32;306.7;212.39
18;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_340;0.93;0.27;299.24;344.28
19;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_315;0.69;0.17;292.38;276.82
20;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_290;0.8;0.19;293.17;277.04
21;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_265;0.98;0.23;299.49;287.53
22;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_240;1.02;0.25;309.81;292.88
23;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_215;1.1;0.3;318.44;305.91
24;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_190;0.9;0.33;336.36;321.03
25;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_165;0.69;0.38;360.29;353.16
26;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_140;0.44;0.38;412.59;381.47
27;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_115;0.24;0.42;445.93;441.31
28;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_090;0.15;0.43;481.98;500.65
29;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_065;0.05;0.47;497.19;604.97
30;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_040;0.01;0.41;557.36;671.52
31;IRSN;PRISME;DOOR;3;FDS607;TG_L1_FP_015;0.08;0.24;687.44;700.56
32;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_390;-0.39;0.38;276.18;174.44
33;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_380;0.14;0.09;268.9;264.86
34;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_355;-0.01;0.12;248.91;221.94
35;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_330;-0.02;0.12;236.49;212.57
36;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_305;-0.05;0.13;229.14;203.86
37;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_280;-0.04;0.12;221.61;199.31
38;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_255;-0.06;0.13;213.8;192.17
39;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_230;-0.06;0.13;207.01;185.42
40;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_205;-0.07;0.16;198.44;170.65
41;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_180;-0.08;0.16;191.01;164.27
42;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_155;-0.07;0.15;181.38;159.71
43;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_130;-0.04;0.12;162.59;156.04
44;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_105;0.07;0.15;137.01;145.61
45;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_080;0.47;0.31;101.03;125.26
46;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_055;0.62;0.21;80.71;86.81
47;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_030;0.45;0.13;75.53;79.89
48;IRSN;PRISME;DOOR;3;FDS607;TG_L1_NW_005;0.31;0.11;70.15;74.01
49;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_390;-0.35;0.36;256.93;170.46
50;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_380;0.18;0.08;253.83;257.32
51;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_355;0.0;0.12;239.82;215.81
52;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_330;0.02;0.1;226.95;210.88
53;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_305;0.0;0.11;223.61;205.58
54;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_280;0.0;0.1;217.24;201.99
55;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_255;-0.02;0.11;210.46;194.66
56;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_230;-0.02;0.11;201.24;185.86
57;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_205;-0.03;0.14;192.23;170.18
58;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_180;-0.03;0.14;184.05;162.88
59;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_155;-0.05;0.17;172.74;145.8
60;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_130;-0.05;0.16;155.95;136.63
61;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_105;0.01;0.14;129.4;124.1
62;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_080;0.07;0.12;98.2;106.81
63;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_055;0.28;0.23;73.22;91.33
64;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_030;0.19;0.16;70.1;81.33
65;IRSN;PRISME;DOOR;3;FDS607;TG_L1_SE_005;0.17;0.16;67.78;75.03
66;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_390;-0.31;0.37;129.68;83.22
67;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_380;0.21;0.15;119.47;131.89
68;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_355;0.12;0.11;107.08;108.92
69;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_330;0.08;0.1;104.37;102.14
70;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_305;-0.02;0.1;101.05;97.54
71;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_280;0.01;0.09;96.62;96.07
72;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_255;0.05;0.1;90.84;93.4
73;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_230;0.11;0.14;83.65;90.44
74;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_205;0.06;0.13;79.48;84.53
75;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_180;0.09;0.14;75.67;81.11
76;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_155;0.09;0.14;72.11;76.34
77;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_130;0.08;0.14;70.08;73.75
78;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_105;0.07;0.15;66.62;70.9
79;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_080;0.07;0.16;63.02;68.59
80;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_055;0.09;0.17;58.21;64.57
81;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_030;0.18;0.24;50.72;62.12
82;IRSN;PRISME;DOOR;3;FDS607;TG_L2_CC_005;0.33;0.31;41.31;55.12
83;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_390;-0.26;0.35;110.81;73.67
84;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_380;0.1;0.11;110.52;116.43
85;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_355;0.02;0.09;108.0;104.54
86;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_330;0.01;0.1;104.19;101.79
87;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_305;0.03;0.09;98.46;98.58
88;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_280;0.03;0.09;95.18;95.48
89;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_255;0.05;0.1;89.53;91.8
90;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_230;0.11;0.14;82.47;89.94
91;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_205;0.12;0.16;77.53;85.32
92;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_180;0.11;0.15;74.73;81.63
93;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_155;0.07;0.14;71.62;76.28
94;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_130;0.07;0.15;68.75;73.72
95;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_105;0.06;0.16;65.19;70.74
96;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_080;0.07;0.16;62.72;68.6
97;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_055;0.09;0.18;58.03;64.72
98;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_030;0.2;0.26;49.8;61.8
99;IRSN;PRISME;DOOR;3;FDS607;TG_L2_NE_005;0.52;0.46;37.54;56.16
100;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_390;-0.32;0.4;117.09;70.5
101;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_380;0.05;0.09;115.64;111.12
102;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_355;-0.0;0.1;106.3;101.53
103;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_330;-0.01;0.09;102.56;99.99
104;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_305;0.01;0.09;99.08;97.78
105;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_280;0.03;0.1;95.34;95.55
106;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_255;0.05;0.1;89.21;91.68
107;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_230;0.09;0.13;82.63;89.09
108;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_205;0.09;0.13;78.93;84.22
109;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_180;0.1;0.15;74.61;80.81
110;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_155;0.08;0.14;71.91;76.49
111;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_130;0.08;0.15;69.66;74.15
112;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_105;0.07;0.16;65.88;71.36
113;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_080;0.09;0.17;62.6;68.55
114;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_055;0.11;0.19;56.93;64.96
115;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_030;0.18;0.24;50.78;62.34
116;IRSN;PRISME;DOOR;3;FDS607;TG_L2_SW_005;0.44;0.4;38.95;55.44
117;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_130;0.33;0.15;88.51;94.78
118;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_110;0.5;0.28;95.26;114.58
119;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_090;0.47;0.44;113.81;161.87
120;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_070;0.2;0.17;150.96;171.87
121;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_050;-0.12;0.18;176.76;147.06
122;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_030;-0.25;0.31;176.18;120.1
123;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_230_010;0.28;0.17;93.66;101.35
124;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_170;0.28;0.17;102.02;112.54
125;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_150;0.47;0.3;107.74;135.22
126;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_130;0.34;0.26;123.17;152.73
127;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_110;0.05;0.14;144.24;126.02
128;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_090;-0.08;0.19;137.7;112.3
129;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_070;-0.07;0.15;123.03;104.87
130;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_050;-0.06;0.13;116.88;102.1
131;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_305_030;-0.01;0.1;106.99;100.45
132;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_220;0.21;0.16;123.04;137.09
133;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_190;0.2;0.15;127.75;141.07
134;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_170;0.13;0.12;133.27;140.64
135;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_150;0.1;0.1;135.24;135.94
136;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_130;0.05;0.11;134.74;129.09
137;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_110;0.05;0.11;128.76;123.19
138;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_090;0.07;0.11;122.94;118.65
139;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_070;0.07;0.11;118.93;115.08
140;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_050;0.07;0.1;116.81;112.46
141;IRSN;PRISME;DOOR;3;FDS607;TG_L2_DP_380_030;0.07;0.1;113.61;110.23
142;IRSN;PRISME;DOOR;3;FDS607;TG_L1_TA_HW;-0.02;0.15;254.43;234.85
143;IRSN;PRISME;DOOR;3;FDS607;TG_L1_TA_BW;0.23;0.1;79.08;77.75
144;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_HW;0.11;0.13;109.88;106.11
145;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_BE;0.2;0.28;53.61;66.95
146;IRSN;PRISME;DOOR;3;FDS607;TG_L2_TA_HE;0.05;0.1;115.14;110.8
147;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NC265;-0.16;0.15;88.82;75.76
148;IRSN;PRISME;DOOR;3;FDS607;TP_L1_SC265;-0.14;0.13;84.86;74.99
149;IRSN;PRISME;DOOR;3;FDS607;TP_L1_EC255;-0.05;0.05;81.01;77.7
150;IRSN;PRISME;DOOR;3;FDS607;TP_L1_WC260;-0.09;0.07;86.59;80.74
151;IRSN;PRISME;DOOR;3;FDS607;TP_L1_PL_CE;6.93;5.61;28.63;206.5
152;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE040;0.01;0.03;40.44;41.44
153;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE155;-0.06;0.04;58.9;57.33
154;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE265;0.01;0.02;76.77;78.03
155;IRSN;PRISME;DOOR;3;FDS607;TP_L1_NE355;-0.11;0.11;94.87;83.94
156;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NC265;0.04;0.05;37.23;38.71
157;IRSN;PRISME;DOOR;3;FDS607;TP_L2_SC260;-0.05;0.05;40.27;38.34
158;IRSN;PRISME;DOOR;3;FDS607;TP_L2_EC260;0.05;0.05;38.68;40.45
159;IRSN;PRISME;DOOR;3;FDS607;TP_L2_WC260;-0.03;0.03;41.04;39.96
160;IRSN;PRISME;DOOR;3;FDS607;TP_L2_PL_CE;2.7;2.22;26.95;92.72
161;IRSN;PRISME;DOOR;3;FDS607;TP_L2_SOL_CE;-0.0;0.02;30.76;31.03
162;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE030;0.04;0.05;29.79;31.2
163;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE155;0.01;0.02;33.78;34.06
164;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE260;0.03;0.04;38.23;39.25
165;IRSN;PRISME;DOOR;3;FDS607;TP_L2_NE355;-0.0;0.01;40.85;40.83
166;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_CENTRE;-0.49;0.53;160.54;98.68
167;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_INTER;-0.44;0.44;177.05;122.57
168;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_HW_SURF;-0.41;0.41;263.52;149.89
169;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_CENTRE;-0.28;0.3;85.12;58.38
170;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_INTER;-0.2;0.18;88.33;71.56
171;IRSN;PRISME;DOOR;3;FDS607;TCA_L1_BW_SURF;-0.08;0.11;91.72;84.8
172;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_CENTRE;-0.33;0.34;79.56;50.82
173;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_INTER;-0.32;0.32;86.11;56.68
174;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HW_SURF;-0.26;0.25;87.47;65.27
175;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_CENTRE;-0.14;0.12;41.52;36.32
176;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_INTER;-0.1;0.07;43.71;41.11
177;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_BE_SURF;-0.0;0.1;45.75;46.45
178;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_CENTRE;-0.35;0.37;85.04;51.04
179;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_INTER;-0.32;0.32;88.85;57.95
180;IRSN;PRISME;DOOR;3;FDS607;TCA_L2_HE_SURF;-0.25;0.25;90.12;66.98
181;IRSN;PRISME;DOOR;3;FDS607;CO_L1_FP;-0.06;0.11;0.0;0.0
182;IRSN;PRISME;DOOR;3;FDS607;CO_L1_HAUT;0.03;0.09;0.0;0.0
183;IRSN;PRISME;DOOR;3;FDS607;CO_L1_BAS;0.13;0.16;0.0;0.0
184;IRSN;PRISME;DOOR;3;FDS607;CO_L2_HAUT;0.01;0.05;0.0;0.0
185;IRSN;PRISME;DOOR;3;FDS607;CO_L2_BAS;-0.05;0.09;0.0;0.0
186;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_FP;-0.2;0.23;0.03;0.02
187;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_HAUT;-0.16;0.14;0.04;0.04
188;IRSN;PRISME;DOOR;3;FDS607;CO2_L1_BAS;-0.07;0.23;0.03;0.03
189;IRSN;PRISME;DOOR;3;FDS607;CO2_L2_HAUT;-0.23;0.2;0.03;0.03
190;IRSN;PRISME;DOOR;3;FDS607;CO2_L2_BAS;-0.24;0.24;0.03;0.02
191;IRSN;PRISME;DOOR;3;FDS607;O2_L1_FP;0.05;0.05;0.16;0.17
192;IRSN;PRISME;DOOR;3;FDS607;O2_L1_HAUT;0.05;0.04;0.14;0.14
193;IRSN;PRISME;DOOR;3;FDS607;O2_L1_BAS;0.02;0.06;0.16;0.16
194;IRSN;PRISME;DOOR;3;FDS607;O2_L2_HAUT;0.06;0.04;0.16;0.16
195;IRSN;PRISME;DOOR;3;FDS607;O2_L2_BAS;0.06;0.04;0.16;0.17
196;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_205;-0.31;0.32;2.38;1.65
197;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_192_5;-0.21;0.21;2.09;1.68
198;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_180;-0.18;0.22;1.81;1.44
199;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_167_5;-0.19;0.22;1.56;1.23
200;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_155;-0.27;0.3;1.29;0.91
201;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_142_5;-0.2;0.21;0.96;0.82
202;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_130;-0.15;0.72;0.39;0.67
203;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_117_5;-1.93;1.81;-0.52;0.51
204;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_105;-1.77;1.35;-0.5;0.13
205;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_092_5;-0.31;0.39;-0.54;-0.35
206;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_080;-0.29;0.39;-0.72;-0.44
207;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_055;-0.14;0.21;-0.75;-0.64
208;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_030;-0.31;0.35;-1.03;-0.72
209;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_005;-0.25;0.21;-0.86;-0.74
210;IRSN;PRISME;DOOR;3;FDS607;V_L1_L2_S105;-0.8;0.98;-0.64;-0.05
